0;12;15;18;37;41;45;47;51;55;65;69;70;72;73;75;77;82;84;87;88;89;92;97;101;102;106;111
Automating SQL Server with dbatools;Course;;;Show more options for Automating SQL Server with dbatools;;;Save;;;58m;;;Intermediate;;;Nov 2022;;;;;;LinkedIn;;By: Jess Pomfret;;;
Advanced SQL: Solving Interpolation Challenges;Course;Updated;;;Show more options for Advanced SQL: Solving Interpolation Challenges;;;Save;;;;1h 26m;;;;Advanced;Updated 2 weeks ago;;;;;;LinkedIn;;;By: Ami Levin;
Explore a Career in SQL Development;Learning Path;;;Show more options for Explore a Career in SQL Development;;;Save;;;14h;;;;Updated 1 week ago;;;;;;LinkedIn;;;;;;;
Introduction to Couchbase;Course;;;Show more options for Introduction to Couchbase;;;Save;;;1h 11m;;;Beginner;;;Updated Feb 2024;;;;;;LinkedIn;;By: Michelle Burns;;;
Intermediate SQL: Data Reporting and Analysis;Course;;;Show more options for Intermediate SQL: Data Reporting and Analysis;;;Save;;;2h 11m;;;Intermediate;;;Nov 2022;;;;;;LinkedIn;;By: Emma Saunders;;;
Using SQL with C++;Course;;;Show more options for Using SQL with C++;;;Save;;;1h 27m;;;Intermediate;;;Aug 2021;;;;;;LinkedIn;;By: Bill Weinman;;;
Advanced SQL for Data Science: Time Series;Course;Popular;;;Show more options for Advanced SQL for Data Science: Time Series;;;Save;;;;1h 20m;;;;Advanced;Updated Mar 2024;;;;;;LinkedIn;;;By: Dan Sullivan;
Data Engineering: dbt for SQL;Course;;;Show more options for Data Engineering: dbt for SQL;;;Save;;;1h 31m;;;Advanced;;;Sep 2023;;;;;;LinkedIn;;By: Vinoo Ganesh;;;
Introduction to SQL Using Google BigQuery;Course;;;Show more options for Introduction to SQL Using Google BigQuery;;;Save;;;3h 20m;;;Intermediate;;;Jan 2024;;;;;;LinkedIn;;By: Danny Ma;;;
SQL Hands-On Practice: Solve Business Problems;Course;Popular;;;Show more options for SQL Hands-On Practice: Solve Business Problems;;;Save;;;;2h 8m;;;;Intermediate;Sep 2023;;;;;;LinkedIn;;;By: Jess Ramos;
Advanced SQL: High Performance Relational Divisions;Course;Updated;;;Show more options for Advanced SQL: High Performance Relational Divisions;;;Save;;;;1h 45m;;;;Advanced;Updated 1 month ago;;;;;;LinkedIn;;;By: Ami Levin;
Advanced  SQL – Window Functions;Course;Updated;Popular;;;Show more options for Advanced  SQL – Window Functions;;;Save;;;;;;2h 6m;;Advanced;;Updated 2 weeks ago;;;;;;LinkedIn;;By: Ami Levin
SQL Hands-On Practice;Learning Path;;;Show more options for SQL Hands-On Practice;;;Save;;;7h 40m;;;;Updated Apr 2024;;;;;;LinkedIn;;;;;;;
SQL Server: Security for Developers;Course;;;Show more options for SQL Server: Security for Developers;;;Save;;;1h 27m;;;Beginner;;;Sep 2018;;;;;;LinkedIn;;By: Joey D'Antoni;;;
SQL Practice: Window Functions;Course;;;Show more options for SQL Practice: Window Functions;;;Save;;;12m;;;Advanced;;;Sep 2023;;;;;;LinkedIn;;By: Scott Simpson;;;
Coding Exercises: SQL Data Science;Course;Updated;Popular;;;Show more options for Coding Exercises: SQL Data Science;;;Save;;;;;;1h 30m;;Intermediate;;Updated 2 weeks ago;;;;;;LinkedIn;;By: Harshit Tyagi
SQL Server Intelligence: Cracking the Code of Enterprise Data;Course;;;Show more options for SQL Server Intelligence: Cracking the Code of Enterprise Data;;;Save;;;2h 15m;;;Beginner;;;Updated 4 months ago;;;;;;LinkedIn;;By: Walter Shields;;;
Nano Tips for Acing Your SQL Interview with Nick Singh;Course;;;Show more options for Nano Tips for Acing Your SQL Interview with Nick Singh;;;Save;;;12m;;;General;;;Oct 2023;;;;;;LinkedIn;;By: Nick Singh;;;
SQL vs. NoSQL: Which Database Type Is Right for You?;Course;;;Show more options for SQL vs. NoSQL: Which Database Type Is Right for You?;;;Save;;;26m;;;Intermediate;;;Oct 2022;;;;;;LinkedIn;;By: David Jones-Gilardi;;;
Master SQL Development;Learning Path;;;Show more options for Master SQL Development;;;Save;;;14h;;;;Updated 2 weeks ago;;;;;;LinkedIn;;;;;;;
Deploy SQL Server on Linux, Containers, and Kubernetes;Course;;;Show more options for Deploy SQL Server on Linux, Containers, and Kubernetes;;;Save;;;56m;;;Intermediate;;;Oct 2023;;;;;;LinkedIn;;By: Ben Weissman;;;
Data Analysis: Investigate with SQL;Course;;;Show more options for Data Analysis: Investigate with SQL;;;Save;;;53m;;;Beginner;;;Apr 2023;;;;;;LinkedIn;;By: Walter Shields;;;
Nail Your SQL Interview;Course;;;Show more options for Nail Your SQL Interview;;;Save;;;1h;;;Beginner;;;Apr 2022;;;;;;LinkedIn;;By: Nichole Pulley;;;
Hands-On Introduction: SQL;Course;;;Show more options for Hands-On Introduction: SQL;;;Save;;;1h 19m;;;Intermediate;;;Updated Apr 2024;;;;;;LinkedIn;;By: Deepa Maddala;;;
Complete Guide to AI and Data Science for SQL Developers: From Beginner to Advanced;Course;Popular;;;Show more options for Complete Guide to AI and Data Science for SQL Developers: From Beginner to Advanced;;;Save;;;;5h 22m;;;;Advanced;Updated 4 months ago;;;;;;LinkedIn;;;By: Walter Shields;
Data Engineering Hands-On Practice;Learning Path;;;Show more options for Data Engineering Hands-On Practice;;;Save;;;19h;;;;Updated 1 week ago;;;;;;LinkedIn;;;;;;;
